PIB File Number,Date Occurred,Originating Bureau,Division level,Division,Unit,Working Status,Shift,Investigation status,Disposition,Service Type,Light Condition,Weather Condition,Use of Force Type,Use of Force Level,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
FTN2018-0238,06/28/2018,FOB - Field Operations Bureau,4th District,Task Force,B,Regular Working,Between 3pm-11pm,Completed,UOF Justified With Policy Violation,Pedestrian Stop,Good,Clear Conditions,CEW Deployment,L2,Unknown,No,Black,Male,23,5,4 feet to 6 feet,Male,Black,,Medium,5'7'' to 5'9'',No,No,No,,Resisting Officer w/Weapon,No
FTN2018-0255,06/28/2018,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (no injury),L1,Unknown,Yes,Black,Male,34,6,0 feet to 1 feet,Male,Black,16,Medium,5'10'' to 6'0'',No,Yes,Yes,,Flight from an Officer,No
FTN2018-0239,06/30/2018,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands | Takedown (no injury) | Hands,L1 | L1 | L1,Mentally unstable,Yes | Yes | Yes,White | White | White,Male | Male | Male,36 | 36 | 31,14 | 14 | 6,0 feet to 1 feet,Male,Black,39,Large,5'4'' to 5'6'',No,No,Yes,,Battery on Police Officer,No | No | No
FTN2018-0240,07/03/2018,FOB - Field Operations Bureau,2nd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Rainy Conditions - Light,CEW Deployment,L2,Mentally unstable,Yes,White,Male,31,6,0 feet to 1 feet,Male,Black,31,Medium,5'7'' to 5'9'',No,Yes,No,,Battery on Police Officer,No
FTN2018-0242,07/03/2018,FOB - Field Operations Bureau,7th District,Task Force,A,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Firearm (Exhibited) | Takedown (no injury),L1 | L1,None detected | None detected | None detected,Yes | Yes,Black | Black,Male | Male,26 | 28,7 | 6,0 feet to 1 feet | 0 feet to 1 feet | 0 feet to 1 feet,Male | Female | Female,Black | Black | Black,20 | 17 | 16,Small | Small | Small,5'10'' to 6'0'' | 5'10'' to 6'0'' | 5'10'' to 6'0'',No | No | No,No | No | No,Yes | Yes | Yes,,refuse verbal commands,Yes | Yes
FTN2018-0243,07/06/2018,FOB - Field Operations Bureau,4th District,2nd Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,Unknown,Yes | Yes,White | Black,Male | Female,40 | 31,6 | 5,11 feet to 14 feet,Male,Black,39,Medium,6'1'' to 6'3'',No,No,Yes,,Resisting Lawful Arrest,No | No
FTN2018-0244,07/06/2018,FOB - Field Operations Bureau,7th District,Evening Watch,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified With Training,Call for Service,Good,Clear Conditions,Hands | Hands,L1 | L1,Mentally unstable,Yes | Yes,Black | White,Male | Male,47 | 35,14 | 4,0 feet to 1 feet,Male,Black,24,Medium,5'4'' to 5'6'',No,Yes,No,,Other,No | No
FTN2018-0246,07/07/2018,FOB - Field Operations Bureau,4th District,Task Force,B,Regular Working,Between 11pm-7am,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,None detected | None detected,Yes | Yes | Yes,Black | Black | Black,Male | Male | Male,30 | 23 | 26,6 | 5 | 5,7 feet to 10 feet | 7 feet to 10 feet,Male | Male,Black | Black,18 | 17,Medium | Medium,5'7'' to 5'9'' | 5'7'' to 5'9'',No | No,No | No,Yes | Yes,,Flight from an Officer,No | No | No
FTN2018-0245,07/07/2018,FOB - Field Operations Bureau,4th District,,Bourbon Street,Detailed Temporarily,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands | Hands | Hands | Hands | Force (Escort Tech) | Hands | Hands,L1 | L1 | L1 | L1 | L1 | L1 | L1,Alchohol and unknown drugs,Yes | Yes | Yes | Yes | Yes | Yes | Yes,Black | Black | Black | Black | Black | Black | White,Female | Female | Female | Female | Male | Male | Female,34 | 47 | 48 | 51 | 45 | 45 | 38,12 | 13 | 12 | 17 | 24 | 24 | 6,0 feet to 1 feet,Male,Black,24,Medium,6'1'' to 6'3'',No,No,Yes,,refuse verbal commands,No | No | Yes | No | No | No | No
FTN2018-0247,07/08/2018,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Female,32,5,11 feet to 14 feet,Female,Black,22,Medium,5'4'' to 5'6'',No,No,No,,Other,No
FTN2018-0248,07/08/2018,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands | Takedown (no injury) | Firearm (Exhibited) | Hands,L1 | L1 | L1 | L1,Alchohol,Yes | Yes | No | Yes,White | White | White | White,Male | Male | Male | Male,44 | 44 | 31 | 31,24 | 24 | 4 | 4,1 feet to 3 feet,Male,Black,33,Large,5'10'' to 6'0'',No,No,Yes,,Weapon Exhibited,No | No | No | No
FTN2018-0248,07/08/2018,FOB - Field Operations Bureau,7th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands | Takedown (no injury) | Firearm (Exhibited) | Hands,L1 | L1 | L1 | L1,Alchohol,Yes | Yes | No | Yes,White | White | White | White,Male | Male | Male | Male,44 | 44 | 31 | 31,24 | 24 | 4 | 4,1 feet to 3 feet,Male,Black,33,Large,5'10'' to 6'0'',No,No,Yes,,Weapon Exhibited,No | No | No | No
FTN2018-0249,07/08/2018,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified With Training,Call for Service,Poor,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,White,Male,30,4,1 feet to 3 feet,Male,Black,34,Medium,5'4'' to 5'6'',No,No,Yes,,Weapon Exhibited,No
FTN2018-0250,07/09/2018,FOB - Field Operations Bureau,1st District,,,,,Completed,UOF Justified,Pedestrian Stop,Poor,Clear Conditions,Force (Defense Tech) | CEW Deployment,L2 | L2,Unknown Drugs,Yes | No,White | Black,Male | Male,53 | 31,5 | 5,0 feet to 1 feet,Male,Black,26,Large,6'1'' to 6'3'',Yes,Yes,Yes,,Flight from an Officer,No | No
FTN2018-0250,07/09/2018,FOB - Field Operations Bureau,1st District,,,,,Completed,UOF Justified,Pedestrian Stop,Poor,Clear Conditions,Force (Defense Tech) | CEW Deployment,L2 | L2,Unknown Drugs,Yes | No,White | Black,Male | Male,53 | 31,5 | 5,0 feet to 1 feet,Male,Black,26,Large,6'1'' to 6'3'',Yes,Yes,Yes,,Flight from an Officer,No | No
FTN2018-0251,07/09/2018,FOB - Field Operations Bureau,2nd District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands | Hands | Hands | Hands,L1 | L1 | L1 | L1,Unknown,Yes | Yes | Yes | Yes,White | White | White | White,Male | Male | Male | Male,48 | 39 | 28 | 27,3 | 17 | 7 | 7,0 feet to 1 feet,Male,Black,36,Medium,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,No | No | No | No
FTN2018-0252,07/10/2018,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands | Hands,L1 | L1,Unknown,Yes | Yes,Black | White,Male | Male,41 | 27,12 | 4,0 feet to 1 feet,,,54,Small,5'7'' to 5'9'',No,Yes,Yes,,Flight from an Officer,No | No
FTN2018-0253,07/10/2018,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,V.O.W.S. Unit,Resigned,Between 7am-3pm,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,CEW Deployment,L2,Unknown,Yes,Black,Male,38,17,11 feet to 14 feet,Male,Black,17,Medium,5'10'' to 6'0'',Yes,Yes,Yes,,Resisting Lawful Arrest,No
FTN2018-0261,07/12/2018,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,Regular Working,Between 7am-3pm,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,None detected | None detected | None detected,Yes | Yes | Yes,White | White | White,Male | Male | Male,29 | 32 | 30,8 | 7 | 7,4 feet to 6 feet | 4 feet to 6 feet | 4 feet to 6 feet,Male | Male | Male,Black | Black | Black,31 | 27 | 30,Small | Small | Small,5'4'' to 5'6'' | 5'4'' to 5'6'' | 5'4'' to 5'6'',No | No | No,No | No | No,Yes | Yes | Yes,,Tactical Deployments,No | No | No
FTN2016-0084,02/08/2016,FOB - Field Operations Bureau,7th District,Evening Watch,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1 | L1,Unknown Drugs,Yes | Yes | Yes | Yes,Black | Black | White | White,Female | Male | Male | Male,35 | 43 | 51 | 36,18 | 19 | 6 | 7,1 feet to 3 feet,Male,Black,32,Large,6'1'' to 6'3'',No,Yes,Yes,,Other,No | No | No | No
FTN2018-0256,07/14/2018,FOB - Field Operations Bureau,7th District,Evening Watch,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Firearm (Exhibited),L1,Unknown | Unknown | Unknown,No,White,Male,33,6,4 feet to 6 feet | 4 feet to 6 feet | 4 feet to 6 feet,Female | Male | Male,Black | Black | Black,,,,No | No | No,No | No | No,No | No | No,,Flight from an Officer,No
FTN2018-0257,07/17/2018,FOB - Field Operations Bureau,ISB Staff,Task Force,A,Regular Working,Between 7am-3pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Takedown (no injury),L1,None detected,Yes,White,Male,32,6,1 feet to 3 feet,Male,Black,31,Medium,5'7'' to 5'9'',No,No,Yes,,Flight from an Officer,No
FTN2018-0259,07/17/2018,FOB - Field Operations Bureau,7th District,Staff,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,Black,Male,22,4,1 feet to 3 feet,Male,Black,41,Large,6'1'' to 6'3'',No,No,Yes,,Flight from an Officer,No
FTN2018-0258,07/17/2018,FOB - Field Operations Bureau,5th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury),L1,Unknown,Yes,White,Male,27,4,0 feet to 1 feet,Male,Black,32,Medium,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2018-0260,07/18/2018,FOB - Field Operations Bureau,Special Operations Division,Traffic Section,DWI Unit,Regular Working,Between 11pm-7am,Completed,UOF Justified,Traffic Stop,Poor,Clear Conditions,Force (Escort Tech) | Hands | Hands | Force (Escort Tech) | Hands,L1 | L1 | L1 | L1 | L1,Alchohol,Yes | Yes | Yes | Yes | Yes,Black | Black | Black | Black | Black,Male | Male | Male | Male | Male,46 | 46 | 55 | 45 | 45,13 | 13 | 32 | 21 | 21,0 feet to 1 feet,Female,Black,34,Medium,5'0'' to 5'3'',No,No,Yes,,Resisting Lawful Arrest,No | No | No | No | No
FTN2019-0226,07/05/2019,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified With Training,Arresting,Good,Clear Conditions,Force (Take Down),L2,Unknown,Yes,Hispanic,Male,39,9,0 feet to 1 feet,Male,Black,0,Medium,5'4'' to 5'6'',Yes,Yes,Yes,,Resisting Lawful Arrest,No
FTN2019-0227,07/05/2019,FOB - Field Operations Bureau,8th District,D.I.U.,Property,Paid Detail,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,Takedown (no injury),L1,None detected,Yes,White,Male,49,24,0 feet to 1 feet,Male,Black,45,Medium,6'1'' to 6'3'',No,Yes,Yes,,Resisting Lawful Arrest,No
FTN2019-0228,07/07/2019,FOB - Field Operations Bureau,7th District,K9 Section,,Regular Working,Between 11pm-7am,Completed,UOF Justified,Traffic Stop,Poor,Clear Conditions,Firearm (Exhibited) | Canine (No Bite),L1 | L2,Unknown,Yes | Yes,Black | White,Male | Male,31 | 51,12 | 29,,Male,Black,18,Medium,5'4'' to 5'6'',No,No,Yes,,Flight from an Officer,No | No
FTN2019-0229,07/08/2019,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Unknown Working Status,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,CEW Exhibited/Laser | Hands | Takedown (no injury),L1 | L1 | L1,Unknown,Yes | Yes | Yes,White | White | White,Male | Male | Male,22 | 22 | 22,3 | 3 | 3,0 feet to 1 feet,Male,Black,27,Medium,5'4'' to 5'6'',No,No,Yes,,Resisting Lawful Arrest,No | No | No
FTN2019-0230,07/10/2019,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Rainy Conditions - Light,Firearm (Exhibited),L1,Unknown,No,White,Male,25,5,11 feet to 14 feet,Male,Black,,,,No,No,No,,refuse verbal commands,No
FTN2019-0231,07/13/2019,FOB - Field Operations Bureau,6th District,Staff,,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Rainy Conditions - Light,Firearm (Exhibited),L1,Mentally unstable,Yes,Black,Male,53,24,15 feet to 18 feet,Male,White,26,,,No,Yes,Yes,,Weapon Exhibited,No
FTN2019-0232,07/15/2019,FOB - Field Operations Bureau,3rd District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury),L1,None detected,Yes,Black,Male,39,12,0 feet to 1 feet,Male,Black,17,Small,5'7'' to 5'9'',No,No,No,,refuse verbal commands,Yes
FTN2019-0233,07/17/2019,FOB - Field Operations Bureau,4th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury),L1,None detected,Yes,Black,Male,23,3,0 feet to 1 feet,Male,Black,39,Small,5'0'' to 5'3'',No,No,Yes,,Flight from an Officer,No
FTN2019-0235,07/18/2019,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited) | Hands | Firearm (Exhibited) | Hands,L1 | L1 | L1 | L1,Unknown,No | Yes | No | Yes,Black | Black | Black | Black,Male | Male | Male | Male,25 | 25 | 32 | 32,3 | 3 | 3 | 3,4 feet to 6 feet,Male,Black,23,Medium,,No,No,Yes,,Weapon Exhibited,No | No | No | No
FTN2019-0235,07/18/2019,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited) | Hands | Firearm (Exhibited) | Hands,L1 | L1 | L1 | L1,Unknown,No | Yes | No | Yes,Black | Black | Black | Black,Male | Male | Male | Male,25 | 25 | 32 | 32,3 | 3 | 3 | 3,4 feet to 6 feet,Male,Black,23,Medium,,No,No,Yes,,Weapon Exhibited,No | No | No | No
FTN2019-0236,07/18/2019,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Good,Clear Conditions,Hands | Takedown (w/injury) | Hands | Takedown (w/injury),L1 | L2 | L1 | L2,Unknown,Yes | Yes | Yes | Yes,Hispanic | Hispanic | White | White,Male | Male | Male | Male,25 | 25 | 36 | 36,4 | 4 | 3 | 3,0 feet to 1 feet,Male,Black,32,Medium,5'10'' to 6'0'',Yes,Yes,Yes,,Resisting Lawful Arrest,No | No | No | No
FTN2019-0237,07/18/2019,FOB - Field Operations Bureau,1st District,B Platoon,Task Force A,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,Black,Male,36,5,4 feet to 6 feet,Male,Black,20,Small,5'7'' to 5'9'',No,No,Yes,,Flight from an Officer,No
FTN2019-0234,07/18/2019,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Arresting,Poor,Clear Conditions,Hands | Hands | Takedown (no injury),L1 | L1 | L1,Unknown,Yes | Yes | Yes,White | Black | Black,Male | Female | Male,44 | 51 | 56,17 | 26 | 27,11 feet to 14 feet,Male,Black,43,Small,5'7'' to 5'9'',No,No,Yes,,Flight from an Officer,No | No | No
FTN2019-0238,07/20/2019,FOB - Field Operations Bureau,4th District,3rd Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands,L1,Alchohol,No,Black,Female,33,13,1 feet to 3 feet,Male,Black,38,Medium,5'7'' to 5'9'',No,No,Yes,,Battery on Police Officer,No
FTN2019-0239,07/24/2019,FOB - Field Operations Bureau,3rd District,Task Force,,Unknown Working Status,Between 7am-3pm,Completed,UOF Justified With Training,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,Unknown Drugs,Yes | Yes,Hispanic | White,Male | Male,42 | 35,5 | 5,1 feet to 3 feet,Male,Black,23,Medium,5'7'' to 5'9'',No,No,Yes,,Flight from an Officer,No | No
FTN2019-0241,07/25/2019,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,Black,Male,31,8,22 feet to 25 feet,Male,Black,39,Medium,5'7'' to 5'9'',No,No,Yes,,Tactical Deployments,No
FTN2019-0240,07/25/2019,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (no injury) | Takedown (no injury),L1 | L1,Unknown Drugs,Yes | Yes,Black | Black,Male | Female,57 | 36,1 | 5,0 feet to 1 feet,Male,White,24,Small,5'10'' to 6'0'',No,Yes,Yes,,refuse verbal commands,No | No
FTN2019-0252,07/25/2019,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified With Policy Violation,Call for Service,Good,Clear Conditions,Takedown (w/injury) | Hands,L2 | L1,None detected,Yes | Yes,Black | White,Female | Female,51 | 47,20 | 7,1 feet to 3 feet,Male,Black,28,Medium,5'7'' to 5'9'',Yes,Yes,Yes,,Resisting Lawful Arrest,No | Yes
FTN2019-0242,07/27/2019,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,Between 11pm-7am,Completed,UOF Justified,Serving a Warrant,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,Unknown | Unknown | Unknown | Unknown,Yes | Yes,Black | White,Male | Male,42 | 32,18 | 9,1 feet to 3 feet | 1 feet to 3 feet | 1 feet to 3 feet | 1 feet to 3 feet,Male | Male | Male | Male,Black | Black | Black | Black,45 | 40 | 33 | 45,Medium | Medium | Medium | Medium,6'1'' to 6'3'' | 6'1'' to 6'3'' | 6'1'' to 6'3'' | 6'1'' to 6'3'',No | No | No | No,No | No | No | No,Yes | Yes | Yes | Yes,,Tactical Deployments,No | No
FTN2019-0243,07/28/2019,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,CEW Exhibited/Laser | Takedown (no injury) | Takedown (no injury),L1 | L1 | L1,Alchohol,No | Yes | Yes,Asian/Pacifi | Asian/Pacifi | White,Male | Male | Male,25 | 25 | 36,4 | 4 | 3,1 feet to 3 feet,Male,Black,38,Large,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,Yes | Yes | Yes
FTN2019-0243,07/28/2019,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,CEW Exhibited/Laser | Takedown (no injury) | Takedown (no injury),L1 | L1 | L1,Alchohol,No | Yes | Yes,Asian/Pacifi | Asian/Pacifi | White,Male | Male | Male,25 | 25 | 36,4 | 4 | 3,1 feet to 3 feet,Male,Black,38,Large,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,Yes | Yes | Yes
FTN2019-0244,07/30/2019,FOB - Field Operations Bureau,3rd District,B Platoon,Task Force A,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Takedown (w/injury) | Takedown (w/injury) | Takedown (w/injury),L2 | L2 | L2,Mentally unstable,Yes | Yes | Yes,Hispanic | White | Black,Male | Male | Male,54 | 26 | 25,14 | 5 | 4,0 feet to 1 feet,Male,Black,22,Medium,5'10'' to 6'0'',Yes,Yes,Yes,,Resisting Lawful Arrest,No | No | No
FTN2019-0245,07/30/2019,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,Regular Working,Between 7am-3pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,Unknown,Yes | Yes | Yes,Black | White | White,Male | Female | Male,35 | 48 | 26,14 | 9 | 2,11 feet to 14 feet,Male,Black,37,,,No,No,Yes,,Flight from an Officer,No | No | No
FTN2019-0246,08/01/2019,FOB - Field Operations Bureau,8th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,,Yes,White,Male,31,9,,Female,Black,38,,,No,No,No,,Tactical Deployments,No
FTN2019-0250,08/06/2019,FOB - Field Operations Bureau,3rd District,B Platoon,Patrol,Regular Working,Between 11pm-7am,Initial,Pending,Call for Service,Good,Clear Conditions,CEW Deployment,L2,None detected | None detected,Yes,White,Female,29,2,1 feet to 3 feet | 1 feet to 3 feet,Female | Female,Black | Black,18 | 25,Small | Small,5'0'' to 5'3'' | 5'0'' to 5'3'',No | No,Yes | Yes,Yes | Yes,,refuse verbal commands,No
FTN2019-0249,08/06/2019,FOB - Field Operations Bureau,5th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Call for Service,Good,Clear Conditions,CEW Deployment,L2,Mentally unstable,Yes,White,Male,25,4,7 feet to 10 feet,Male,White,28,Small,5'10'' to 6'0'',Yes,Yes,Yes,,Battery on Police Officer,No
FTN2019-0248,08/06/2019,FOB - Field Operations Bureau,5th District,K9 Section,,Regular Working,Between 7am-3pm,Completed,UOF Justified,Pedestrian Stop,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Rifle (Pointed) | Canine (No Bite),L1 | L1 | L1 | L2,None detected,Yes | Yes | Yes | Yes,White | Black | Black | White,Male | Male | Male | Male,39 | 35 | 35 | 60,13 | 14 | 14 | 14,7 feet to 10 feet,Male,Black,45,Medium,5'7'' to 5'9'',Yes,Yes,Yes,,Other,No | No | No | No
FTN2019-0254,08/10/2019,FOB - Field Operations Bureau,1st District,B Platoon,Task Force A,Regular Working,Between 3pm-11pm,Completed,UOF Justified With Training,Arresting,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | CEW Deployment,L1 | L1 | L2,None detected,No | Yes | Yes,Black | Black | Black,Male | Male | Male,33 | 33 | 33,5 | 5 | 5,4 feet to 6 feet,Male,Black,29,Medium,5'10'' to 6'0'',Yes,Yes,Yes,,Flight from an Officer,Yes | Yes | Yes
FTN2019-0253,08/10/2019,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Unknown Working Status,Unknown Shift Hours,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands | Hands,L1 | L1,Mentally unstable,Yes | Yes,White | Black,Male | Male,37 | 29,3 | 3,0 feet to 1 feet,Male,White,38,Medium,> 6'3'',No,Yes,No,,refuse verbal commands,No | No
FTN2019-0255,08/11/2019,FOB - Field Operations Bureau,1st District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified,Pedestrian Stop,Poor,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,Hispanic,Male,37,3,22 feet to 25 feet,Male,Black,45,Small,5'7'' to 5'9'',No,No,No,,Flight from an Officer,No
FTN2019-0316,08/12/2019,FOB - Field Operations Bureau,7th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified With Training,Call for Service,Good,Clear Conditions,Hands | Hands | Takedown (no injury),L1 | L1 | L1,None detected,Yes | No | Yes,Black | Black | Black,Male | Male | Male,50 | 26 | 26,14 | 5 | 5,0 feet to 1 feet,Male,Black,35,Large,5'4'' to 5'6'',No,No,Yes,,refuse verbal commands,No | No | No
FTN2019-0316,08/12/2019,FOB - Field Operations Bureau,7th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Justified With Training,Call for Service,Good,Clear Conditions,Hands | Hands | Takedown (no injury),L1 | L1 | L1,None detected,Yes | No | Yes,Black | Black | Black,Male | Male | Male,50 | 26 | 26,14 | 5 | 5,0 feet to 1 feet,Male,Black,35,Large,5'4'' to 5'6'',No,No,Yes,,refuse verbal commands,No | No | No
FTN2019-0257,08/13/2019,FOB - Field Operations Bureau,3rd District,B Platoon,,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Poor,Clear Conditions,Takedown (w/injury),L2,Unknown Drugs,Yes,Not Specifie,Male,31,4,0 feet to 1 feet,Male,Black,16,Medium,5'10'' to 6'0'',Yes,Yes,No,,Flight from an Officer,No
FTN2019-0258,08/14/2019,FOB - Field Operations Bureau,2nd District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Hands | Takedown (no injury),L1 | L1,Unknown Drugs,Yes | Yes,Black | White,Male | Male,54 | 42,20 | 6,0 feet to 1 feet,Male,Black,23,Medium,5'10'' to 6'0'',No,Yes,No,,Battery on Police Officer,No | No
FTN2019-0260,08/15/2019,FOB - Field Operations Bureau,8th District,D.I.U.,Persons,Paid Detail,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Force (Escort Tech),L1,Alchohol,Yes,White,Male,46,3,0 feet to 1 feet,Female,White,26,Small,5'0'' to 5'3'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2019-0261,08/15/2019,FOB - Field Operations Bureau,7th District,B Platoon,Patrol,Regular Working,Between 3pm-11pm,Completed,UOF Justified,Call for Service,Good,Clear Conditions,Force (Take Down),L2,None detected,Yes,Black,Male,38,0,0 feet to 1 feet,Male,Black,19,Small,5'7'' to 5'9'',Yes,No,Yes,,Resisting Lawful Arrest,No
FTN2019-0262,08/17/2019,FOB - Field Operations Bureau,8th District,C Platoon,Patrol,Regular Working,Between 11pm-7am,Completed,UOF Not Justified,Arresting,Good,Clear Conditions,CEW Deployment,L2,Alchohol,Limited,White,Female,36,3,11 feet to 14 feet,Male,White,31,Medium,5'10'' to 6'0'',No,Yes,Yes,,Resisting Lawful Arrest,No
