 RIN, Primary Key, Date Occurred, Time Occurred, Location, Area Command, Nature of Contact, Reason Desc, R2R Level,Master Subject ID, Subject Sex, Subject Race, Subject Ethnicity, Subject Conduct Desc, Subject Resistance, Weapon Used 1, Weapon Used 2,Weapon Used 3, Weapon Used 4, Weapon Used 5, Number Shots, Subject Effects, Effect on Officer, Officer Organization Desc, Officer Commission Date,Officer Yrs of Service, X-Coordinate, Y-Coordinate,CouncilDistrict
"157,484","2,015,761,788",03/17/2015 12:00:00 AM,2112,200 E 7TH ST,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,3,459255401: 2015761788,M,W,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,,BOMB /EOD K9 SPECIAL OPS,01/02/2009 12:00:00 AM,6,"3,114,884","10,070,975",9
"157,485","2,015,760,728",03/17/2015 12:00:00 AM,1139,1908 E STASSNEY LN,FR,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,3,161092281: 2015760728,M,W,H,,OTHER,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,FRANK 200 REG IV PATROL,03/27/1998 12:00:00 AM,17,"3,109,940","10,044,393",2
"157,486","2,015,761,899",03/17/2015 12:00:00 AM,2202,1801 E RIVERSIDE DR,HE,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",3,288884290: 2015761899,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,HENRY 400 REG III PATROL,07/13/2012 12:00:00 AM,3,"3,118,696","10,061,689",3
"157,525","2,015,761,788",03/17/2015 12:00:00 AM,2112,200 E 7TH ST,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,3,459255401: 2015761788,M,W,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 800 REG I PATROL,06/18/2004 12:00:00 AM,11,"3,114,884","10,070,975",9
"157,526","2,015,760,197",03/17/2015 12:00:00 AM, ,602 E 7TH ST,GE,VIEWED OFFENSE,NECESSARY TO DEFEND ANOTHER,3,459254901: 2015760197,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION,CHEMICAL AGENT - O C SPRAY,,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,LAKE PATROL 2,06/27/2003 12:00:00 AM,12,"3,116,337","10,070,584",9
"157,562","2,015,761,899",03/17/2015 12:00:00 AM,2210,1801 E RIVERSIDE DR,HE,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",3,288884290: 2015761899,M,B,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,HENRY 300 REG III PATROL,10/07/2011 12:00:00 AM,3,"3,118,696","10,061,689",3
"157,563","2,015,761,899",03/17/2015 12:00:00 AM,2343,1801 E RIVERSIDE DR,HE,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",3,288884290: 2015761899,M,B,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,0,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,HENRY 300 REG III PATROL,11/30/2012 12:00:00 AM,2,"3,118,696","10,061,689",3
"157,610","2,015,761,577",03/17/2015 12:00:00 AM,1927,E 14TH ST / OLANDER ST,CH,DISPATCHED CALL,TO RESTRAIN FOR SUBJECTS SAFETY,2,333579105: 2015761577,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,CED - PRONGS-ENTER # SHOTS,,,,,1,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,BAKER 800 NIGHT REG I PATROL,12/13/2013 12:00:00 AM,1,"3,118,161","10,073,101",1
"158,202","2,015,761,577",03/17/2015 12:00:00 AM,1930,E 14TH ST / OLANDER ST,CH,DISPATCHED CALL,NECESSARY TO DEFEND ANOTHER,3,333579105: 2015761577,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,CHARLIE 400 REG III PATROL,01/02/2009 12:00:00 AM,6,"3,118,161","10,073,101",1
"158,222","2,015,761,577",03/17/2015 12:00:00 AM, ,E 14TH ST / OLANDER ST,CH,DISPATCHED CALL,NECESSARY TO DEFEND ANOTHER,3,333579105: 2015761577,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,CHARLIE 400 REG III PATROL,11/30/2012 12:00:00 AM,2,"3,118,161","10,073,101",1
"157,564","2,015,770,871",03/18/2015 12:00:00 AM,1225,500 W CESAR CHAVEZ ST,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,3,459255609: 2015770871,M,B,N,,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,GEORGE 400 REG I PATROL,09/18/2005 12:00:00 AM,10,"3,112,239","10,069,610",9
"157,568","2,015,770,127",03/18/2015 12:00:00 AM,0125,400 E 6TH ST,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,3,317993175: 2015770127,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,NO COMPLAINT OF INJURY/PAIN,GEORGE 700 REG I PATROL,04/27/2007 12:00:00 AM,8,"3,115,491","10,070,521",9
"157,570","2,015,770,807",03/18/2015 12:00:00 AM,1135,E BEN WHITE BLVD SVRD EB / MONTOPOLIS DR,FR,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,3,93651327: 2015770807,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,FRANK 200 REG IV PATROL,01/04/2008 12:00:00 AM,7,"3,124,345","10,050,585",2
"157,581","2,015,770,875",03/18/2015 12:00:00 AM, ,6200 CAMERON RD,ID,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,3,459255610: 2015770875,M,B,N,,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,IDA 200 REG I PATROL,04/23/2010 12:00:00 AM,5,"3,128,212","10,089,771",1
"157,582","2,015,770,875",03/18/2015 12:00:00 AM,1359,6200 CAMERON RD,ID,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,2,459255610: 2015770875,M,B,N,,EMPTY HAND DEFENSIVE RESISTANCE,CED - PRONGS-ENTER # SHOTS,,,,,1,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,IDA 200 REG I PATROL,06/27/2003 12:00:00 AM,12,"3,128,212","10,089,771",1
"157,583","2,015,770,875",03/18/2015 12:00:00 AM,1256,6200 CAMERON RD,ID,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,3,459255610: 2015770875,M,B,N,,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,IDA 200 REG I PATROL,08/25/1990 12:00:00 AM,25,"3,128,212","10,089,771",1
"157,584","2,015,771,401",03/18/2015 12:00:00 AM,1730,311 E 6TH ST,GE,OTHER,"IN CUSTODY, MAINTAINING CONTROL",3,318899180: 2015771401,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,MINOR INJURY,MINOR INJURY,GEORGE 500 REG I PATROL,03/22/2013 12:00:00 AM,2,"3,115,196","10,070,413",9
"157,586","2,015,771,401",03/18/2015 12:00:00 AM,1705,311 E 6TH ST,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,2,269683541: 2015771401,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION,CED - PRONGS-ENTER # SHOTS,,,,,2,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,EDWARD 100 REG II PATROL,03/23/2012 12:00:00 AM,3,"3,115,196","10,070,413",9
"157,587","2,015,771,401",03/18/2015 12:00:00 AM,1730,311 E 6TH ST,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,2,269683541: 2015771401,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION,CED - PRONGS-ENTER # SHOTS,,,,,3,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,EDWARD 100 REG II PATROL,11/30/2012 12:00:00 AM,2,"3,115,196","10,070,413",9
"157,602","2,015,770,127",03/18/2015 12:00:00 AM,0120,400 E 6TH ST,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,3,317993175: 2015770127,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 700 REG I PATROL,02/09/2016 12:00:00 AM,-1,"3,115,491","10,070,521",9
"157,603","2,015,771,401",03/18/2015 12:00:00 AM,1730,311 E 6TH ST,GE,OTHER,NECESSARY TO EFFECT ARREST / DETENTION,3,269683541: 2015771401,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 500 REG I PATROL,03/22/2013 12:00:00 AM,2,"3,115,196","10,070,413",9
"157,608","2,015,771,401",03/18/2015 12:00:00 AM,1730,311 E 6TH ST,GE,OTHER,NECESSARY TO EFFECT ARREST / DETENTION,3,269683541: 2015771401,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND ACTIVE AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,MINOR INJURY,GEORGE 400 REG I PATROL,11/30/2012 12:00:00 AM,2,"3,115,196","10,070,413",9
"157,665","2,015,770,871",03/18/2015 12:00:00 AM, ,500 W CESAR CHAVEZ ST,GE,VIEWED OFFENSE,"IN CUSTODY, MAINTAINING CONTROL",3,459255609: 2015770871,M,B,N,,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,HOMICIDE UNIT VIOL CRIMES,07/09/1999 12:00:00 AM,16,"3,112,239","10,069,610",9
"157,565","2,015,780,274",03/19/2015 12:00:00 AM, ,1781 SPYGLASS DR,DA,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,3,383064419: 2015780274,F,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,DAVID 700 REG IV PATROL,11/30/2012 12:00:00 AM,2,"3,099,006","10,066,871",8
"157,566","2,015,772,164",03/19/2015 12:00:00 AM,0251,501 BASTROP HWY NB,HE,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",3,288948873: 2015772164,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,HENRY 300 REG III PATROL,10/07/2011 12:00:00 AM,3,"3,132,557","10,060,158",3
"157,567","2,015,772,164",03/19/2015 12:00:00 AM,0122,501 BASTROP HWY NB,HE,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",3,288948873: 2015772164,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,HENRY 300 REG III PATROL,07/08/2005 12:00:00 AM,10,"3,132,557","10,060,158",3
"157,569","2,015,780,028",03/19/2015 12:00:00 AM,0012,E 6TH ST / TRINITY ST,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,3,9571241: 2015780028,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 700 REG I PATROL,03/22/2013 12:00:00 AM,2,"3,115,416","10,070,416",9
"157,571","2,015,780,038",03/19/2015 12:00:00 AM,0017,419 E 6TH ST,GE,VIEWED OFFENSE,NECESSARY TO DEFEND ANOTHER,3,459255968: 2015780038,F,B,N,,OTHER,CHEMICAL AGENT - O C SPRAY,,,,,0,COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 300 REG I PATROL,11/30/2012 12:00:00 AM,2,"3,115,622","10,070,268",9
"157,589","2,015,780,214",03/19/2015 12:00:00 AM,0224,E 6TH ST / NECHES ST,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,3,458866753: 2015780214,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,0,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 600 REG I PATROL,03/22/2013 12:00:00 AM,2,"3,115,762","10,070,320",9
"157,590","2,015,782,390",03/19/2015 12:00:00 AM, ,500 WALLER ST,GE,,,,,,,,,,,,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,NARCOTICS TEAM 1 OCD,11/21/1997 12:00:00 AM,17,"3,118,054","10,069,219",3
"157,601","2,015,772,164",03/19/2015 12:00:00 AM,0201,501 BASTROP HWY NB,HE,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",3,288948873: 2015772164,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,HENRY 300 REG III PATROL,11/30/2012 12:00:00 AM,2,"3,132,557","10,060,158",3
"157,604","2,015,780,028",03/19/2015 12:00:00 AM,0012,E 6TH ST / TRINITY ST,GE,VIEWED OFFENSE,NECESSARY TO DEFEND ANOTHER,3,9570527: 2015780028,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 800 REG I PATROL,11/12/2010 12:00:00 AM,4,"3,115,416","10,070,416",9
"157,605","2,015,780,028",03/19/2015 12:00:00 AM,0012,E 6TH ST / TRINITY ST,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,3,9571241: 2015780028,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 700 REG I PATROL,04/23/2010 12:00:00 AM,5,"3,115,416","10,070,416",9
"157,606","2,015,772,164",03/19/2015 12:00:00 AM,1729,501 BASTROP HWY NB,HE,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",3,288948873: 2015772164,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,HENRY 300 REG III PATROL,05/29/2015 12:00:00 AM,0,"3,132,557","10,060,158",3
"157,612","2,015,782,325",03/19/2015 12:00:00 AM,0214,2400 WICKERSHAM LN,HE,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",3,459256480: 2015782325,M,W,H,EDP/MENTALLY UNSTABLE,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,NO COMPLAINT OF INJURY/PAIN,HENRY 500 REG III PATROL,03/21/2014 12:00:00 AM,1,"3,120,814","10,056,202",3
"157,613","2,015,782,325",03/19/2015 12:00:00 AM,2324,2400 WICKERSHAM LN,HE,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",3,459256480: 2015782325,M,W,H,EDP/MENTALLY UNSTABLE,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,MINOR INJURY,HENRY 500 REG III PATROL,11/30/2012 12:00:00 AM,2,"3,120,814","10,056,202",3
"157,614","2,015,782,325",03/19/2015 12:00:00 AM,2330,2400 WICKERSHAM LN,HE,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",3,459256480: 2015782325,M,W,H,EDP/MENTALLY UNSTABLE,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,MINOR INJURY,HENRY 500 REG III PATROL,03/23/2012 12:00:00 AM,3,"3,120,814","10,056,202",3
"157,723","2,015,782,390",03/19/2015 12:00:00 AM,2300,500 WALLER ST,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,3,311101177: 2015782390,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,0,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GANG SUPPRESSION UNIT OCD,01/04/2008 12:00:00 AM,7,"3,118,054","10,069,219",3
"157,762","2,015,782,116",03/19/2015 12:00:00 AM,2205,GUADALUPE ST / W 22ND ST,BA,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,3,255068725: 2015782116,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND ACTIVE AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,MINOR INJURY,BAKER 700 REG I PATROL,04/23/2010 12:00:00 AM,5,"3,114,483","10,076,917",9
"157,763","2,015,782,116",03/19/2015 12:00:00 AM,2205,GUADALUPE ST / W 22ND ST,BA,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,3,255068725: 2015782116,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,BAKER 700 REG I PATROL,10/07/2011 12:00:00 AM,3,"3,114,483","10,076,917",9
"157,595","2,015,790,188",03/20/2015 12:00:00 AM,0201,E 6TH ST / TRINITY ST,GE,OTHER,NECESSARY TO EFFECT ARREST / DETENTION,3,459256374: 2015790188,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,DWI TEAM 2 REG III HWY ENFORCEMENT,10/07/2011 12:00:00 AM,3,"3,115,416","10,070,416",9
"157,615","2,015,790,395",03/20/2015 12:00:00 AM,0500,2400 E CESAR CHAVEZ ST,CH,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,3,459247948: 2015790395,M,W,N,,EMPTY HAND DEFENSIVE RESISTANCE,CED - PRONGS MISSED-ENTER # SHOTS,,,,,1,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,CHARLIE 700 REG III PATROL,03/21/2014 12:00:00 AM,1,"3,122,372","10,066,138",3
"157,617","2,015,791,563",03/20/2015 12:00:00 AM,1810,2806 REAL ST,CH,DISPATCHED CALL,NECESSARY TO DEFEND ANOTHER,3,223479675: 2015791563,F,W,H,EDP/MENTALLY UNSTABLE,EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,COMPLAINT OF INJURY/PAIN,CHARLIE 500 REG III PATROL,12/13/2013 12:00:00 AM,1,"3,123,932","10,076,394",1
"157,623","2,015,790,395",03/20/2015 12:00:00 AM,0530,2400 E CESAR CHAVEZ ST,CH,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,2,459247948: 2015790395,M,W,N,,EMPTY HAND DEFENSIVE RESISTANCE,CED - PRONGS-ENTER # SHOTS,,,,,1,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,CHARLIE 700 REG III PATROL,03/23/2012 12:00:00 AM,3,"3,122,372","10,066,138",3
"157,661","2,015,790,188",03/20/2015 12:00:00 AM,0201,E 6TH ST / TRINITY ST,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,3,459256288: 2015790188,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 700 REG I PATROL,02/09/2016 12:00:00 AM,-1,"3,115,416","10,070,416",9
"157,662","2,015,790,203",03/20/2015 12:00:00 AM,0220,E 6TH ST / BRAZOS ST,GE,OTHER,NECESSARY TO EFFECT ARREST / DETENTION,2,458879669: 2015790203,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,CED - PRONGS-ENTER # SHOTS,,,,,1,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,CHARLIE 600 REG III PATROL,12/13/2013 12:00:00 AM,1,"3,114,742","10,070,624",9
"157,703","2,015,790,844",03/20/2015 12:00:00 AM,1141,6575 DECKER LN,CH,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",3,32509001: 2015790844,M,B,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,0,NO COMPLAINT OF INJURY/PAIN,MINOR INJURY,CHARLIE 100 REG III PATROL,05/10/2002 12:00:00 AM,13,"3,150,290","10,079,608",1
"157,741","2,015,791,563",03/20/2015 12:00:00 AM,1818,2806 REAL ST,CH,DISPATCHED CALL,NECESSARY TO DEFEND ANOTHER,3,223479675: 2015791563,F,W,H,EDP/MENTALLY UNSTABLE,EMPTY HAND ACTIVE AGGRESSION,OTHER,,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,CHARLIE 500 REG III PATROL,05/30/2014 12:00:00 AM,1,"3,123,932","10,076,394",1
"157,744","2,015,790,844",03/20/2015 12:00:00 AM, ,6575 DECKER LN,CH,DISPATCHED CALL,"IN CUSTODY, MAINTAINING CONTROL",3,32509001: 2015790844,M,B,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,CHARLIE 200 REG III PATROL,04/23/2010 12:00:00 AM,5,"3,150,290","10,079,608",1
"157,801","2,015,790,188",03/20/2015 12:00:00 AM,0201,E 6TH ST / TRINITY ST,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,3,459256374: 2015790188,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,COMPLAINT OF INJURY/PAIN,GEORGE 800 REG I PATROL,06/18/2004 12:00:00 AM,11,"3,115,416","10,070,416",9
